line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
7201,31,6,1 9 10 19 20 29,3,after_2,19,3,22,1,1,19,escaped,1,"(2,1,3)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
7203,31,6,1 3 10 20 26 29,2,after_1,18,2,20,1,1,18,escaped,1,"(3,1,0)",1,1,17,"(1, 1, 17)",1,"(1, 1, 17)",1
7205,31,6,1 10 20 26 27 29,2,after_1,3,9,12,1,1,3,escaped,1,"(8,1,9)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7207,31,6,1 3 10 16 20 29,2,after_1,12,2,14,1,1,12,escaped,1,"(0,1,2)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
7208,31,6,1 9 10 16 20 29,2,after_1,18,1,19,1,1,18,escaped,1,"(0,1,1)",1,1,9,"(1, 1, 9)",1,"(1, 1, 9)",1
7217,31,6,1 10 16 17 20 29,2,after_1,9,1,10,1,1,9,escaped,1,"(0,1,1)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
7218,31,6,1 3 9 10 25 27,3,after_2,20,3,23,1,1,20,escaped,1,"(1,1,3)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7220,31,6,1 3 10 19 25 27,3,after_2,8,14,22,1,1,8,escaped,1,"(12,1,14)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7221,31,6,1 9 10 19 25 27,3,after_2,17,2,19,1,1,17,escaped,1,"(1,1,2)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7224,31,6,1 9 10 25 26 27,2,after_1,5,15,20,1,1,5,escaped,1,"(16,1,14)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7228,31,6,1 3 9 10 16 25,2,after_1,20,3,23,1,1,20,escaped,1,"(1,1,3)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7232,31,6,1 9 10 16 19 25,3,after_2,23,1,24,1,1,23,escaped,1,"(0,1,1)",1,1,14,"(1, 1, 14)",1,"(1, 1, 14)",1
7246,31,6,1 10 17 25 26 27,2,after_1,5,14,19,1,1,5,escaped,1,"(17,1,19)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7248,31,6,1 3 10 16 17 25,2,after_1,13,8,21,1,1,13,escaped,1,"(5,1,8)",1,1,7,"(1, 1, 7)",1,"(1, 1, 7)",1
7252,31,6,1 10 16 17 25 26,2,after_1,10,7,17,1,1,10,escaped,1,"(4,1,7)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
7255,31,6,1 9 10 20 25 27,2,after_1,7,9,16,1,1,7,escaped,1,"(6,1,9)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7256,31,6,1 3 10 19 20 25,3,after_2,5,15,20,1,1,5,escaped,1,"(14,1,15)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7264,31,6,1 9 10 16 20 25,2,after_1,22,2,24,1,1,22,escaped,1,"(0,1,20)",1,1,16,"(1, 1, 16)",1,"(1, 1, 16)",1
7265,31,6,1 10 16 20 25 27,3,after_2,21,1,22,1,1,21,escaped,1,"(0,1,1)",1,1,18,"(1, 1, 18)",1,"(1, 1, 18)",1
